in 	 tar 
1818 	 6 
1819 	 3 
1820 	 9 
1821 	 6 
1822 	 3 
1823 	 0 
1824 	 14 
1825 	 4 
1826 	 1 
1827 	 17 
1828 	 28 
1829 	 21 
1830 	 24 
1831 	 16 
1832 	 1 
1833 	 0 
1834 	 15 
1835 	 0 
1836 	 4 
1837 	 0 
1838 	 0 
1839 	 0 
1840 	 0 
1841 	 1 
1842 	 1 
1843 	 0 
1844 	 0 
1845 	 0 
1846 	 4 
1847 	 0 
1848 	 0 
1849 	 15 
1850 	 2 
1851 	 0 
1852 	 0 
1853 	 0 
1854 	 1 
1855 	 1 
1856 	 0 
1857 	 0 
1858 	 1 
1859 	 1 
1860 	 5 
1861 	 0 
1862 	 0 
1863 	 1 
1864 	 0 
1865 	 8 
1866 	 1 
1867 	 0 
